Designator,Mid X,Mid Y,Rotation,Layer
C1,102.7,-69.15,270.0,top
C10,60.805,-103.73,270.0,bottom
C100,90.69,-69.82,90.0,top
C101,91.94,-69.67,90.0,top
C102,102.7674,-79.716585,90.0,top
C103,104.0674,-70.516585,270.0,top
C104,102.7674,-81.516585,90.0,top
C105,89.1,-81.15,270.0,top
C106,91.94,-73.31,270.0,top
C107,91.64,-79.72,270.0,top
C108,102.7674,-70.816585,270.0,top
C109,69.82,-83.355,180.0,bottom
C11,74.69,-98.835,270.0,top
C110,93.29,-108.61,90.0,top
C111,92.09,-108.57,270.0,top
C112,106.26,-124.8,90.0,top
C113,96.08,-103.28,270.0,bottom
C115,95.69,-106.88,270.0,top
C12,69.79,-99.335,0.0,top
C120,90.8,-119.7,180.0,bottom
C121,90.8,-120.5,0.0,bottom
C122,84.65,-120.0,0.0,top
C13,75.79,-109.135,90.0,top
C14,71.59,-109.335,90.0,top
C15,69.24,-100.835,0.0,top
C16,69.765,-108.035,0.0,top
C17,69.765,-105.335,0.0,top
C18,79.7,-105.5625,180.0,top
C19,69.765,-103.535,0.0,top
C2,106.7,-75.4,90.0,top
C20,69.765,-109.01,0.0,top
C21,69.765,-104.435,0.0,top
C22,69.24,-102.335,180.0,top
C23,79.7,-104.5625,180.0,top
C24,69.765,-106.235,0.0,top
C25,69.765,-107.135,0.0,top
C26,79.7,-103.6625,180.0,top
C27,77.565,-96.935,0.0,top
C28,69.815,-97.185,0.0,top
C29,76.49,-112.335,0.0,top
C3,99.4,-66.9,0.0,top
C30,72.29,-112.335,0.0,top
C31,96.42,-100.52,180.0,bottom
C32,101.34,-98.91,0.0,bottom
C33,99.71,-98.91,0.0,bottom
C34,101.27,-100.52,0.0,bottom
C35,68.2,-66.9,270.0,top
C38,94.06,-94.895,180.0,bottom
C39,101.32,-97.31,0.0,bottom
C4,81.1,-67.3,0.0,top
C40,99.68,-95.7,0.0,bottom
C41,93.14,-100.52,0.0,bottom
C42,96.43,-95.7,0.0,bottom
C43,98.06,-97.31,0.0,bottom
